
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
27,27,2015-12-16,25-286,POR,@,OKC,L (-16),1,25:56,4,14,.286,0,0,,6,6,1.000,9,1,10,3,0,0,5,2,14,8.7,-8,30.0
28,28,2015-12-18,25-288,POR,@,ORL,L (-8),1,30:23,2,6,.333,0,0,,0,0,,1,9,10,1,0,1,4,6,4,-1.0,-14,18.0
29,29,2015-12-20,25-290,POR,@,MIA,L (-7),1,30:58,3,5,.600,0,1,.000,5,7,.714,4,3,7,2,0,0,5,4,11,6.4,-10,20.3
30,30,2015-12-21,25-291,POR,@,ATL,L (-9),1,26:40,3,3,1.000,0,0,,5,6,.833,3,7,10,6,1,1,2,2,11,17.0,-2,37.0
31,31,2015-12-23,25-293,POR,@,NOP,L (-26),1,22:54,4,9,.444,0,0,,0,1,.000,6,6,12,2,0,2,2,3,8,8.5,-20,29.0
32,32,2015-12-26,25-296,POR,,CLE,W (+29),1,28:23,4,6,.667,0,0,,3,4,.750,2,12,14,4,1,1,2,2,11,14.7,+26,39.0
33,33,2015-12-27,25-297,POR,@,SAC,W (+4),1,22:00,1,3,.333,0,0,,2,4,.500,2,4,6,3,1,1,2,5,4,3.9,-5,19.0
34,34,2015-12-30,25-300,POR,,DEN,W (+7),1,27:54,4,7,.571,0,0,,5,6,.833,3,4,7,4,1,3,2,2,13,15.7,+8,34.8
35,35,2015-12-31,25-301,POR,@,UTA,L (-13),1,20:09,1,5,.200,0,0,,1,2,.500,4,5,9,2,0,0,2,0,3,3.2,-17,16.3
36,36,2016-01-03,25-304,POR,@,DEN,W (+6),1,21:36,1,2,.500,0,0,,4,5,.800,0,0,0,2,0,1,0,4,6,5.1,-4,11.0
37,37,2016-01-04,25-305,POR,,MEM,L (-13),1,22:55,1,6,.167,0,0,,1,4,.250,1,2,3,0,2,0,1,2,3,-0.5,+1,10.3
38,38,2016-01-06,25-307,POR,,LAC,L (-11),1,25:42,7,9,.778,0,0,,5,8,.625,5,4,9,5,0,0,2,2,19,19.7,-13,36.8
39,39,2016-01-08,25-309,POR,,GSW,L (-20),1,18:00,2,8,.250,0,0,,3,4,.750,1,4,5,1,0,0,1,2,7,2.6,-14,14.3
40,40,2016-01-10,25-311,POR,,OKC,W (+5),1,31:25,5,12,.417,0,0,,1,1,1.000,6,5,11,4,0,1,2,5,11,9.8,+6,33.3
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
41,41,2016-01-13,25-314,POR,,UTA,W (+14),1,20:29,2,4,.500,0,0,,2,4,.500,3,3,6,1,0,2,1,0,6,7.3,+7,18.5
42,42,2016-01-15,25-316,POR,@,BRK,W (+12),1,22:05,3,6,.500,0,0,,1,2,.500,0,2,2,3,0,0,1,2,7,4.5,-15,13.5
43,43,2016-01-16,25-317,POR,@,PHI,L (-25),1,21:41,4,7,.571,0,0,,4,7,.571,3,1,4,1,1,2,3,2,12,9.2,-17,23.0
44,44,2016-01-18,25-319,POR,@,WAS,W (+10),1,23:43,5,11,.455,0,0,,0,1,.000,4,7,11,7,1,1,2,3,10,12.2,+12,38.8
45,45,2016-01-20,25-321,POR,,ATL,L (-6),1,28:12,3,7,.429,0,0,,0,0,,4,5,9,4,1,0,2,4,6,6.8,+3,24.3
46,46,2016-01-23,25-324,POR,,LAL,W (+18),1,25:15,3,7,.429,0,0,,7,7,1.000,1,7,8,6,3,0,2,2,13,16.5,+18,37.0
47,47,2016-01-26,25-327,POR,,SAC,W (+15),1,22:42,5,5,1.000,0,0,,2,4,.500,0,8,8,1,1,4,0,2,12,15.8,+4,33.5
48,48,2016-01-29,25-330,POR,,CHO,W (+18),1,28:50,6,10,.600,0,0,,1,1,1.000,6,6,12,5,2,2,3,4,13,16.7,+12,43.5
49,49,2016-01-31,25-332,POR,,MIN,W (+3),1,20:26,2,5,.400,0,0,,2,2,1.000,1,2,3,1,0,1,0,2,6,5.2,-7,13.3
50,50,2016-02-02,25-334,POR,,MIL,W (+12),1,20:16,1,5,.200,0,0,,1,2,.500,3,5,8,1,1,3,0,5,3,4.9,-1,22.5
51,51,2016-02-04,25-336,POR,,TOR,L (-7),1,19:39,3,5,.600,0,0,,0,4,.000,2,2,4,0,0,2,0,4,6,3.9,+4,15.0
52,52,2016-02-06,25-338,POR,@,HOU,W (+17),1,23:52,4,8,.500,0,0,,2,2,1.000,1,7,8,1,1,2,4,3,10,6.7,+8,25.5
