
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB ▾,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
51,,2015-12-05,21-082,DEN,@,PHI,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,,2015-12-08,21-085,DEN,,ORL,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,17,2015-12-11,21-088,DEN,,MIN,W (+3),1,44:22,5,15,.333,2,6,.333,0,0,,0,2,2,1,0,0,2,3,12,1.6,+2,16.0
54,20,2015-12-18,21-095,DEN,@,UTA,L (-9),1,29:03,5,11,.455,1,6,.167,1,1,1.000,0,2,2,2,1,1,3,3,12,5.8,-9,20.5
55,22,2015-12-22,21-099,DEN,,LAL,L (-4),1,35:25,9,15,.600,2,5,.400,1,2,.500,0,1,1,1,1,1,3,4,21,11.8,-8,27.3
56,24,2015-12-26,21-103,DEN,@,SAS,L (-15),1,33:40,4,10,.400,0,2,.000,2,2,1.000,0,2,2,5,0,0,2,1,10,6.3,-5,19.0
57,25,2015-12-27,21-104,DEN,@,OKC,L (-10),1,30:47,6,13,.462,2,5,.400,2,4,.500,0,2,2,3,2,0,1,2,16,11.4,-14,27.5
58,28,2016-01-02,21-110,DEN,@,GSW,L (-3),1,39:18,5,12,.417,1,4,.250,0,0,,0,2,2,1,2,0,1,2,11,6.1,-11,19.0
59,29,2016-01-03,21-111,DEN,,POR,L (-6),1,27:23,2,6,.333,2,3,.667,1,2,.500,0,2,2,1,1,0,0,3,7,4.3,+9,14.0
60,30,2016-01-06,21-114,DEN,@,MIN,W (+4),1,24:22,3,6,.500,2,4,.500,0,0,,0,0,0,0,0,0,0,1,8,4.6,-12,9.0
