
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
26,26,2015-12-19,30-054,IND,@,MEM,L (-12),1,36:48,6,12,.500,0,4,.000,1,2,.500,1,1,2,1,2,1,0,0,13,11.0,-3,23.0
27,27,2015-12-21,30-056,IND,@,SAS,L (-14),1,28:45,3,10,.300,0,1,.000,0,0,,1,2,3,6,0,1,0,2,6,5.6,-6,20.8
28,28,2015-12-23,30-058,IND,,SAC,L (-2),1,37:18,8,13,.615,3,5,.600,2,4,.500,1,1,2,6,3,0,1,2,21,20.7,+13,39.5
29,29,2015-12-26,30-061,IND,@,MIN,W (+14),1,36:01,8,15,.533,1,5,.200,5,5,1.000,1,5,6,3,1,0,6,0,22,14.0,+2,33.5
30,30,2015-12-28,30-063,IND,,ATL,W (+6),1,36:15,10,20,.500,4,9,.444,2,2,1.000,1,2,3,2,2,1,3,0,26,18.4,-3,39.3
31,31,2015-12-30,30-065,IND,@,CHI,L (-2),1,35:25,4,19,.211,1,5,.200,4,4,1.000,0,1,1,5,2,0,3,3,13,2.9,-3,24.8
32,32,2015-12-31,30-066,IND,,MIL,L (-4),1,32:41,5,9,.556,0,3,.000,3,4,.750,0,0,0,7,1,2,8,5,13,5.6,-5,25.5
33,33,2016-01-02,30-068,IND,,DET,W (+12),1,33:39,5,14,.357,1,3,.333,3,3,1.000,0,3,3,3,1,2,0,1,14,11.2,+14,28.8
34,34,2016-01-04,30-070,IND,@,MIA,L (-3),1,41:03,8,17,.471,1,3,.333,0,1,.000,1,2,3,9,0,0,1,2,17,13.7,+5,34.3
35,35,2016-01-06,30-072,IND,@,ORL,W (+9),1,35:20,6,13,.462,1,5,.200,6,6,1.000,1,3,4,7,4,0,5,3,19,16.6,+16,40.5
36,36,2016-01-08,30-074,IND,@,NOP,W (+5),1,33:38,5,11,.455,0,1,.000,0,0,,1,3,4,8,1,1,6,3,10,6.0,-4,28.0
37,37,2016-01-10,30-076,IND,@,HOU,L (-4),1,38:48,5,11,.455,1,3,.333,0,0,,0,2,2,13,1,0,4,2,11,11.2,-7,35.0
38,38,2016-01-12,30-078,IND,,PHO,W (+19),1,34:13,6,14,.429,1,3,.333,1,2,.500,0,0,0,7,4,0,2,1,14,12.7,+19,32.0
39,39,2016-01-13,30-079,IND,@,BOS,L (-9),1,34:40,6,16,.375,0,5,.000,0,0,,0,1,1,5,1,0,5,2,12,2.2,-11,20.3
40,40,2016-01-15,30-081,IND,,WAS,L (-14),1,37:16,7,14,.500,0,2,.000,3,5,.600,0,3,3,3,1,1,0,1,17,13.5,-7,29.3
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
41,41,2016-01-17,30-083,IND,@,DEN,L (-3),1,31:55,10,17,.588,2,3,.667,2,5,.400,0,2,2,5,1,1,4,4,24,15.1,-5,37.0
42,42,2016-01-19,30-085,IND,@,PHO,W (+3),1,30:58,7,19,.368,0,3,.000,6,6,1.000,0,3,3,3,2,0,3,1,20,11.1,-3,30.8
43,43,2016-01-22,30-088,IND,@,GSW,L (-12),1,24:48,8,14,.571,1,3,.333,1,2,.500,1,2,3,3,1,1,2,3,18,12.9,-16,29.8
44,44,2016-01-23,30-089,IND,@,SAC,L (-11),1,34:57,7,10,.700,2,3,.667,0,1,.000,0,2,2,7,1,0,2,2,16,15.1,-6,31.0
