
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
59,57,2016-03-02,28-315,NOP,@,HOU,L (-5),1,28:56,5,9,.556,4,7,.571,2,4,.500,0,3,3,1,0,0,3,2,16,8.7,-9,21.8
60,58,2016-03-03,28-316,NOP,,SAS,L (-8),1,32:05,2,6,.333,1,4,.250,0,0,,0,1,1,2,0,0,1,2,5,1.5,-3,9.3
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
61,59,2016-03-05,28-318,NOP,,UTA,L (-12),1,29:54,1,2,.500,0,0,,0,0,,0,1,1,3,1,0,1,5,2,1.4,+6,9.3
62,60,2016-03-07,28-320,NOP,,SAC,W (+3),1,28:36,3,5,.600,1,3,.333,0,0,,0,2,2,0,4,1,0,2,7,9.2,-8,20.0
63,61,2016-03-09,28-322,NOP,@,CHO,L (-9),1,31:38,2,4,.500,0,1,.000,1,1,1.000,1,0,1,1,0,0,1,2,5,2.6,-5,7.3
64,62,2016-03-11,28-324,NOP,@,MEM,L (-7),1,45:59,7,11,.636,2,5,.400,1,2,.500,1,5,6,1,2,4,2,5,17,15.4,-5,38.0
65,63,2016-03-12,28-325,NOP,@,MIL,L (-11),1,29:53,4,6,.667,1,3,.333,0,0,,1,2,3,0,0,1,1,2,9,6.6,-12,14.8
66,64,2016-03-14,28-327,NOP,@,GSW,L (-18),1,20:47,1,6,.167,0,3,.000,0,0,,2,1,3,0,0,1,0,4,2,-1.0,-9,7.8
67,65,2016-03-16,28-329,NOP,@,SAC,W (+15),1,25:34,3,6,.500,0,1,.000,0,0,,0,1,1,2,0,0,0,0,6,4.7,-3,10.3
68,66,2016-03-18,28-331,NOP,,POR,L (-5),1,27:54,1,4,.250,0,2,.000,1,2,.500,1,6,7,1,1,1,0,3,3,3.9,-1,17.3
69,67,2016-03-20,28-333,NOP,,LAC,W (+4),1,39:45,6,10,.600,1,5,.200,6,7,.857,3,3,6,0,2,0,0,3,19,17.8,+5,31.0
70,68,2016-03-22,28-335,NOP,,MIA,L (-14),1,27:26,1,3,.333,0,1,.000,2,2,1.000,1,3,4,3,0,0,1,4,4,3.4,-17,13.0
71,69,2016-03-24,28-337,NOP,@,IND,L (-8),1,37:46,4,13,.308,1,5,.200,0,0,,1,1,2,1,2,0,0,1,9,4.8,-4,17.5
72,70,2016-03-26,28-339,NOP,,TOR,L (-24),1,36:01,3,12,.250,0,4,.000,1,2,.500,1,0,1,1,0,0,0,2,7,0.0,-21,9.8
