
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
47,45,2016-01-27,34-316,ATL,,LAC,L (-2),1,31:49,4,6,.667,4,4,1.000,2,2,1.000,0,3,3,3,0,1,1,2,14,13.3,+3,25.8
48,46,2016-01-28,34-317,ATL,@,IND,L (-19),1,29:40,2,9,.222,1,7,.143,1,2,.500,0,2,2,3,1,0,1,3,6,1.6,-8,15.0
49,47,2016-01-31,34-320,ATL,@,MIA,L (-18),1,23:51,0,6,.000,0,2,.000,0,1,.000,0,3,3,0,2,0,1,1,0,-3.1,-14,7.3
50,48,2016-02-01,34-321,ATL,,DAL,W (+15),1,27:53,5,8,.625,4,7,.571,2,3,.667,0,2,2,3,0,1,0,1,16,15.0,+21,27.0
51,49,2016-02-03,34-323,ATL,@,PHI,W (+38),1,19:28,2,3,.667,1,2,.500,0,0,,0,0,0,3,0,0,3,2,5,2.0,+2,8.5
52,50,2016-02-05,34-325,ATL,,IND,W (+6),1,27:05,2,7,.286,2,6,.333,0,0,,0,5,5,1,1,0,2,5,6,1.1,+10,15.8
53,51,2016-02-07,34-327,ATL,@,ORL,L (-2),1,34:38,4,10,.400,2,5,.400,0,0,,1,5,6,2,2,1,2,2,10,8.1,-4,26.5
54,52,2016-02-08,34-328,ATL,,ORL,L (-7),1,35:54,6,8,.750,4,6,.667,0,0,,0,3,3,4,2,0,1,2,16,16.7,+14,31.3
55,53,2016-02-10,34-330,ATL,@,CHI,W (+23),1,29:41,3,6,.500,2,3,.667,2,2,1.000,0,4,4,3,2,1,0,1,10,12.6,+11,26.5
56,54,2016-02-19,34-339,ATL,,MIA,L (-4),1,34:51,7,14,.500,4,7,.571,0,0,,0,1,1,2,1,1,2,4,18,10.8,+4,27.3
57,55,2016-02-20,34-340,ATL,,MIL,L (-8),1,40:25,5,11,.455,2,6,.333,0,0,,0,1,1,1,3,0,3,4,12,5.7,-10,20.3
58,56,2016-02-22,34-342,ATL,,GSW,L (-10),1,30:09,1,4,.250,0,2,.000,0,0,,0,1,1,1,1,0,2,1,2,-0.8,-16,5.8
59,57,2016-02-26,34-346,ATL,,CHI,W (+15),1,30:44,2,8,.250,1,6,.167,0,0,,0,2,2,3,0,1,0,2,5,2.8,+14,14.5
60,58,2016-02-28,34-348,ATL,,CHO,W (+11),1,21:34,2,4,.500,0,2,.000,0,0,,0,4,4,1,0,0,1,1,4,2.5,-5,10.0
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
