
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
59,55,2016-02-27,20-187,POR,@,CHI,W (+8),1,12:50,2,4,.500,1,1,1.000,0,1,.000,1,2,3,0,0,1,1,2,5,2.8,-4,10.8
60,56,2016-02-28,20-188,POR,@,IND,W (+9),1,17:37,2,5,.400,1,1,1.000,0,0,,0,2,2,0,0,0,3,3,5,-1.3,-6,6.5
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
61,57,2016-03-01,20-190,POR,@,NYK,W (+19),1,15:11,2,8,.250,0,2,.000,0,0,,3,1,4,0,0,0,0,3,4,0.4,-4,9.0
62,58,2016-03-02,20-191,POR,@,BOS,L (-23),1,19:48,3,10,.300,0,1,.000,0,2,.000,2,3,5,0,1,0,0,3,6,1.5,+1,14.3
63,59,2016-03-04,20-193,POR,@,TOR,L (-2),1,10:50,1,1,1.000,0,0,,1,1,1.000,0,4,4,1,0,0,1,4,3,2.0,-3,9.0
64,60,2016-03-06,20-195,POR,@,DET,L (-20),1,13:01,1,2,.500,0,0,,0,0,,0,3,3,1,0,0,0,0,2,2.6,-14,7.3
65,61,2016-03-08,20-197,POR,,WAS,W (+7),1,11:14,0,2,.000,0,0,,2,2,1.000,0,3,3,0,0,0,2,3,2,-1.7,-2,4.8
66,62,2016-03-11,20-200,POR,@,GSW,L (-16),1,17:21,1,6,.167,1,4,.250,0,2,.000,0,5,5,0,0,1,0,4,3,-1.0,-15,11.8
67,63,2016-03-12,20-201,POR,,ORL,W (+37),1,20:54,2,7,.286,0,2,.000,0,0,,1,4,5,0,0,1,2,3,4,-0.7,+9,11.3
68,64,2016-03-14,20-203,POR,@,OKC,L (-34),1,16:46,2,6,.333,0,0,,0,0,,2,3,5,1,0,1,0,1,4,3.9,+3,13.8
69,65,2016-03-17,20-206,POR,@,SAS,L (-8),1,11:09,4,7,.571,0,0,,0,0,,2,2,4,0,0,0,1,1,8,5.3,-14,12.5
70,66,2016-03-18,20-207,POR,@,NOP,W (+5),1,11:36,2,2,1.000,1,1,1.000,1,1,1.000,0,1,1,0,0,0,1,4,6,3.1,+9,7.3
71,67,2016-03-20,20-209,POR,@,DAL,L (-12),1,14:06,0,1,.000,0,0,,0,0,,2,1,3,0,0,0,0,2,0,0.2,-1,3.8
72,68,2016-03-23,20-212,POR,,DAL,W (+6),0,3:28,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+5,1.3
73,69,2016-03-24,20-213,POR,@,LAC,L (-2),0,10:05,2,2,1.000,0,0,,0,0,,1,1,2,0,0,0,0,2,4,3.6,+4,6.5
74,70,2016-03-26,20-215,POR,,PHI,W (+3),0,9:28,1,1,1.000,0,0,,0,0,,1,4,5,0,0,0,1,1,2,2.2,0,7.8
75,71,2016-03-28,20-217,POR,,SAC,W (+12),0,23:47,2,4,.500,0,0,,1,2,.500,0,6,6,1,0,2,2,4,5,2.9,-1,17.0
76,72,2016-03-31,20-220,POR,,BOS,W (+7),0,9:06,3,3,1.000,1,1,1.000,0,0,,0,3,3,0,1,1,0,1,7,8.3,-10,15.3
77,73,2016-04-02,20-222,POR,,MIA,W (+17),0,10:36,0,1,.000,0,0,,1,2,.500,0,5,5,0,0,0,0,0,1,1.4,+5,7.3
78,74,2016-04-03,20-223,POR,@,GSW,L (-25),0,3:09,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,-4,2.0
79,75,2016-04-05,20-225,POR,@,SAC,W (+8),0,7:50,1,1,1.000,0,0,,0,0,,1,1,2,0,1,1,2,0,2,2.4,+3,7.5
80,76,2016-04-06,20-226,POR,,OKC,W (+5),0,4:27,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,-12,2.5
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
81,77,2016-04-09,20-229,POR,,MIN,L (-1),0,8:51,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,0,0,2,3.0,+1,5.8
82,78,2016-04-13,20-233,POR,,DEN,W (+8),0,25:22,2,8,.250,0,3,.000,2,2,1.000,1,4,5,1,1,3,2,4,6,3.3,+11,20.8
