
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
1,,2015-10-28,29-324,HOU,,DEN,L (-20),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
45,,2016-01-22,30-045,HOU,,MIL,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
46,,2016-01-24,30-047,HOU,,DAL,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
47,,2016-01-25,30-048,HOU,@,NOP,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
48,38,2016-01-27,30-050,HOU,@,SAS,L (-31),1,22:42,3,5,.600,0,0,,7,8,.875,2,6,8,1,0,2,2,1,13,13.2,-12,27.5
49,39,2016-01-29,30-052,HOU,@,OKC,L (-8),1,21:00,2,6,.333,0,0,,4,15,.267,3,5,8,1,2,1,2,1,8,4.8,-7,24.5
50,40,2016-01-30,30-053,HOU,,WAS,L (-1),1,28:31,7,11,.636,0,0,,6,8,.750,2,5,7,0,0,0,2,2,20,14.4,-1,27.8
51,,2016-02-02,30-056,HOU,,MIA,W (+13),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
52,41,2016-02-04,30-058,HOU,@,PHO,W (+6),1,32:37,2,4,.500,0,0,,1,4,.250,5,11,16,1,2,1,3,4,5,7.4,+5,31.0
53,42,2016-02-06,30-060,HOU,,POR,L (-17),1,40:46,6,10,.600,0,1,.000,5,8,.625,3,11,14,2,4,0,2,3,17,18.8,-19,46.0
54,43,2016-02-09,30-063,HOU,@,GSW,L (-13),1,34:28,7,12,.583,0,0,,2,10,.200,4,11,15,2,0,1,4,5,16,9.4,-4,39.3
55,44,2016-02-10,30-064,HOU,@,POR,L (-13),1,35:26,13,17,.765,0,0,,2,7,.286,4,9,13,2,0,1,3,1,28,23.5,-24,49.3
56,45,2016-02-19,30-073,HOU,@,PHO,W (+16),1,30:04,5,8,.625,0,0,,5,10,.500,2,4,6,1,3,0,5,4,15,9.1,+29,27.5
57,46,2016-02-23,30-077,HOU,@,UTA,L (-3),1,40:11,3,7,.429,0,1,.000,7,14,.500,5,11,16,1,1,3,2,4,13,13.5,0,43.0
58,47,2016-02-25,30-079,HOU,@,POR,W (+14),1,36:59,8,10,.800,0,0,,3,12,.250,2,11,13,2,2,3,3,4,19,17.2,+5,48.3
59,48,2016-02-27,30-081,HOU,,SAS,L (-10),1,36:18,4,11,.364,0,0,,3,8,.375,4,10,14,1,1,1,0,5,11,9.1,-15,35.5
60,49,2016-02-29,30-083,HOU,@,MIL,L (-7),1,35:17,12,19,.632,0,0,,6,14,.429,7,6,13,0,0,0,2,4,30,21.4,-1,46.8
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
61,50,2016-03-02,30-085,HOU,,NOP,W (+5),1,31:45,5,6,.833,0,0,,6,10,.600,2,7,9,0,2,3,4,2,16,15.0,-7,35.3
62,51,2016-03-05,30-088,HOU,@,CHI,L (-8),1,33:42,3,9,.333,0,0,,2,6,.333,2,10,12,1,1,0,2,6,8,3.0,-11,25.5
63,52,2016-03-06,30-089,HOU,@,TOR,W (+6),1,37:30,9,12,.750,0,0,,3,4,.750,1,10,11,1,1,2,2,6,21,18.2,-6,42.8
